link,title,domain,date
https://calsta.ca.gov/-/media/calsta-media/documents/sacog-lettercapti.pdf,Letter from SACOG to David S Kim,calsta.ca.gov,19 mag 2021
https://calsta.ca.gov/-/media/calsta-media/documents/tircp_cycle_7_guidelines_comparison-20240426_a11y.pdf,TIRCP Cycle 7 Final Guidelines Comparison (04/26/2024),calsta.ca.gov,26 Apr 2024
https://calsta.ca.gov/-/media/calsta-media/documents/state_investment_southern_california-a11y.pdf,State Investment in Southern California Rail Transit Projects,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/tircp_cycle_7_final-guidelines_20240426_a11y.pdf,"TIRCP Cycle 7 Final Guidelines - April 30, 2024",calsta.ca.gov,30 Apr 2024
https://calsta.ca.gov/-/media/calsta-media/documents/calsta_tttf4_appendix_final-a11y.pdf,Transit Transformation Task Force (TTTF) Meeting 4 ...,calsta.ca.gov,17 giu 2024
https://calsta.ca.gov/-/media/calsta-media/documents/sra_approved_applications_update__20240524_final-a11y.pdf,"SB-1 State Rail Assistance Program (as of May 24, 2024)",calsta.ca.gov,24 mag 2024
https://calsta.ca.gov/-/media/calsta-media/documents/iija-transitcommrail_ally.pdf,IIJA Transit and Commuter Rail,calsta.ca.gov,12 Apr 2024
https://calsta.ca.gov/-/media/calsta-media/documents/calsta_tttf_meeting_3_presentation_final-a11y.pdf,CalSTA Transit Transformation Task Force (TTTF) Meeting 3,calsta.ca.gov,15 Apr 2024
https://calsta.ca.gov/-/media/calsta-media/documents/tctc_capti-comments.pdf,TUOlUMNE COUNTY TRANSPORTATION COUNCll,calsta.ca.gov,13 mag 2021
https://calsta.ca.gov/-/media/calsta-media/documents/tttf_5_recommendations_staff_report_final-a11y.pdf,TTTF Meeting #5 Recommendations - Staff Report - Final,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/02172022_mtg2_fgmswg_ca_frntwk_draft_final-a11y.pdf,California Multimodal Freight Network Framework (FGM SWG),calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/21-0318_capti_workshop_summary_final.pdf,Draft CAPTI Spring Stakeholder Workshop,calsta.ca.gov,30 Mar 2021
https://calsta.ca.gov/-/media/calsta-media/documents/tttf_meeting_5_final_agenda-a11y.pdf,"TTTF Meeting #5 Agenda - Final - August 29, 2024",calsta.ca.gov,29 ago 2024
https://calsta.ca.gov/-/media/calsta-media/documents/calsta_fppc_form_801_japan_trip_2023_p1-a11y.pdf,CalSTA FPPC Form 801 Japan Trip March 2023 - signed,calsta.ca.gov,1 ago 2023
https://calsta.ca.gov/-/media/calsta-media/documents/tttf5_homework_a11y.pdf,Transit Transformation Task Force #5 Homework Notice,calsta.ca.gov,9 set 2024
https://calsta.ca.gov/-/media/calsta-media/documents/sandag-capti-comments051921.pdf,Letter from SANDAG to David S Kim,calsta.ca.gov,19 mag 2021
https://calsta.ca.gov/-/media/calsta-media/documents/capti-comments-051821.pdf,CAPTI Comments 051821 (PDF),calsta.ca.gov,18 mag 2021
