publication_title,title_url,author,access_type,source_domain,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,coverage_depth,publication_type,date_monograph_published_print,date_monograph_published_online,embargo_info
"SHSP Vision, Mission & Objective",https://calsta.ca.gov/-/media/calsta-media/documents/shsp_overview-a11y.pdf,California Department of Transportation,free,calsta.ca.gov,,,,,,,,,,,,,
"SB-1 State Rail Assistance Program (as of May 24, 2024)",https://calsta.ca.gov/-/media/calsta-media/documents/sra_approved_applications_update__20240524_final-a11y.pdf,California Department of Transportation,free,calsta.ca.gov,,,,,,,,,,,,,
State Investment in Northern California Rail Transit Projects,https://calsta.ca.gov/-/media/calsta-media/documents/state_investment_northern_california-a11y.pdf,California Department of Transportation,free,calsta.ca.gov,,,,,,,,,,,,,
State Investment in Southern California Rail Transit Projects,https://calsta.ca.gov/-/media/calsta-media/documents/state_investment_southern_california-a11y.pdf,California Department of Transportation,free,calsta.ca.gov,,,,,,,,,,,,,
Transportation Agency for Monterey County,https://calsta.ca.gov/-/media/calsta-media/documents/tamc_a11y.pdf,California Department of Transportation,free,calsta.ca.gov,,,,,,,,,,,,,
TUOlUMNE COUNTY TRANSPORTATION COUNCll,https://calsta.ca.gov/-/media/calsta-media/documents/tctc_capti-comments.pdf,California Department of Transportation,free,calsta.ca.gov,,,,,,,,,,,,,
"TIRCP Cycle 7 Final Guidelines - April 30, 2024",https://calsta.ca.gov/-/media/calsta-media/documents/tircp_cycle_7_final-guidelines_20240426_a11y.pdf,California Department of Transportation,free,calsta.ca.gov,,,,,,,,,,,,,
TIRCP Cycle 7 Final Guidelines Comparison (04/26/2024),https://calsta.ca.gov/-/media/calsta-media/documents/tircp_cycle_7_guidelines_comparison-20240426_a11y.pdf,California Department of Transportation,free,calsta.ca.gov,,,,,,,,,,,,,
TIRCP Pre Application FAQs,https://calsta.ca.gov/-/media/calsta-media/documents/tircp_pre_application_meetings_common_themes_faqs_final_11_27_19.pdf,California Department of Transportation,free,calsta.ca.gov,,,,,,,,,,,,2019,
2020 Transit and Intercity Rail Capital Program Guidelines,https://calsta.ca.gov/-/media/calsta-media/documents/tircp-2020-final-guidelines.pdf,California Department of Transportation,free,calsta.ca.gov,,,,,,,,,,,,,
TIRCP Cycle 7 Guidelines Workshop (NorCal),https://calsta.ca.gov/-/media/calsta-media/documents/tircpcycle7guidelinesworkshopnorcalfinala11y.pdf,California Department of Transportation,free,calsta.ca.gov,,,,,,,,,,,,,
Transit and Intercity Rail Capital Program (TIRCP) Cycle 7,https://calsta.ca.gov/-/media/calsta-media/documents/tircpcycle7guidelinesworkshopsocalfinala11y.pdf,California Department of Transportation,free,calsta.ca.gov,,,,,,,,,,,,,
Transit Transformation Task Force Meeting #4 Information,https://calsta.ca.gov/-/media/calsta-media/documents/transit_transformation_task_force_meeting_4_information-a11y.pdf,California Department of Transportation,free,calsta.ca.gov,,,,,,,,,,,,,
Transit Transformation Task Force Meetings #6 and #7,https://calsta.ca.gov/-/media/calsta-media/documents/transit_transformation_task_force_meetings_6_and_7_meeting_start_and_end_time_adjustments-a11y.pdf,California Department of Transportation,free,calsta.ca.gov,,,,,,,,,,,,,
Transit Transformation Task Force Welcome Email,https://calsta.ca.gov/-/media/calsta-media/documents/transittransformationtaskforcewelcomeemail_a11y.pdf,California Department of Transportation,free,calsta.ca.gov,,,,,,,,,,,,2023,
TTTF Meeting #5 Recommendations - Staff Report - Final,https://calsta.ca.gov/-/media/calsta-media/documents/tttf_5_recommendations_staff_report_final-a11y.pdf,California Department of Transportation,free,calsta.ca.gov,,,,,,,,,,,,,
"TTTF Meeting #5 Agenda - Final - August 29, 2024",https://calsta.ca.gov/-/media/calsta-media/documents/tttf_meeting_5_final_agenda-a11y.pdf,California Department of Transportation,free,calsta.ca.gov,,,,,,,,,,,,2024,
TTTF Meeting #6 Agenda (DRAFT),https://calsta.ca.gov/-/media/calsta-media/documents/tttf_meeting_6_draft_agenda_final-a11y.pdf,California Department of Transportation,free,calsta.ca.gov,,,,,,,,,,,,,
Transit Transformation Task Force #5 Homework Notice,https://calsta.ca.gov/-/media/calsta-media/documents/tttf5_homework_a11y.pdf,California Department of Transportation,free,calsta.ca.gov,,,,,,,,,,,,,
Transit Transformation Task Force (TTTF) - Meeting #3,https://calsta.ca.gov/-/media/calsta-media/documents/tttfworkshop34152024meetingminutesapproveda11y.pdf,California Department of Transportation,free,calsta.ca.gov,,,,,,,,,,,,,
